,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Baseline (No Momentum),0,-200.69914607811984,2.6853644353503228,0.0,1.0,7.118483783983853,0.0,False,log
GRW State-Space,1,-201.36805219922869,3.706443024523338,0.668906121108856,8.326672684688674e-17,6.890709951108643,1.13460566851554,False,log
