,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_drift,0.09,0.055,0.0,0.184,0.001,0.001,1658.0,1088.0,1.0
beta_second_serve,-0.331,0.364,-0.999,0.348,0.005,0.006,5854.0,2875.0,1.0
beta_depth,0.478,0.385,-0.28,1.177,0.005,0.006,7230.0,3161.0,1.0
beta_rally,0.389,0.78,-1.038,1.891,0.009,0.014,6925.0,3179.0,1.0
beta_aggr,0.764,0.383,0.072,1.516,0.005,0.006,5097.0,3047.0,1.0
beta_pressure,-0.998,0.577,-2.048,0.119,0.006,0.011,8495.0,3015.0,1.0
