,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_drift,0.029,0.028,0.0,0.081,0.001,0.001,1459.0,2091.0,1.0
beta_pressure,0.547,0.522,-0.394,1.576,0.006,0.008,6661.0,3270.0,1.0
beta_aggr,0.887,0.213,0.49,1.294,0.003,0.004,4808.0,2802.0,1.0
