,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma_drift,0.118,0.049,0.037,0.213,0.001,0.001,3716.0,2645.0,1.0
beta_second_serve,-0.261,0.222,-0.676,0.144,0.002,0.004,8154.0,2742.0,1.0
beta_depth,-0.16,0.214,-0.553,0.238,0.002,0.004,7925.0,3035.0,1.0
beta_rally,0.564,0.919,-1.078,2.302,0.01,0.016,7783.0,2740.0,1.0
beta_aggr,0.231,0.217,-0.176,0.639,0.003,0.004,6536.0,3157.0,1.0
beta_pressure,-1.459,0.322,-2.04,-0.856,0.004,0.005,7526.0,3199.0,1.0
